komentar,kategori
Katanya orang kaya.. makan saja 1 hari 1jt.. tapi kok open donasi.. ngemis online berkedok donasi yah mbak,hate speech
"Malu ga sih open donasi, padahal tongkrongangannya semua iphone dan makan di tempat mewah. Tidak bermaksud membandingkan. Denada saja yang harus membiayai pengobatan anaknya yang sakit keras tidak sampai membuka donasi. Apakah tidak ada aturan di indonesia ini yang mengurusi keabsahan donasi dan syaratnya!!",hate speech
bapak mana mak? Denise : sabar ya nak mama lagi buka lowongan jadi bapakmu ,hate speech
"ORANG KAYA KOK NGEMIS wkwk. kalau NANTI GA MAMPU NGURUS ANAK TARO AJA DI PANTI NANTI PASTI ADA YANG ADOPSI,  DARIPADA NANTI MALU LIAT JEJAK DIGITAL IBU NYA WKWK",hate speech
Percuma anak cuma buat dijadiin konten. Sumpah bukan calon emak benaran ini mah. Eksploitasi anak yang benar demi cuan mengalir,hate speech
"Lu punya keluarga, tapi kagak punya hati ganggu keluarga orang.",hate speech
"udah tau sering bikin malu, tapi malah terus buka aib orang..",hate speech
"Sekarang minta maaf, besok buat ulah lagi, lusa minta maaf lagi, gitu terus sampai bulu hidung lu beruban Nis.",hate speech
Elu jalan jalan ke jepang sanggup lah lahirin anak ga sanggup,hate speech
"Kelihatan sih kalau orang tuamu gak bahagia Nies, mungkin malu sama kelakuan lu",hate speech
Ingat semakin menua usia orang tuamu jadi jangan bikin orang tuamu merasa menyesal melahirkanmu,hate speech
"Tuh dengar kata emak lu. jangan bego lagi, stop buat malu diri sendiri dan keluarga lu ‚",hate speech
Lah ini bisa ngajak jalan orang tua tapi minta donasi buat anak. Sehat mbk?,hate speech
Makanya jangan tolol,hate speech
KATANYA PUNYA DUIT BANYAK TAPI KOK MINTA DONASI ‚,hate speech
IYA SI MAHA PALING BENAR … kalau EMANG KAYA STOP OPEN DONASI YAï¸,hate speech
Kasihan anak nya baru lahir tidak punya bapak pasti anak yatim yah,hate speech
Ngakak banget saya sama dia open donasi bukan buat lahiran Tapi buat HURA HURA NGAKU ORANG KAYA !!!! TAPI NGEMIS NGEMIS ONLINE HAHAHA saya GA BENCI ANAK LU. kita ga benci anak lu..tapi jijik sama kelakuan lu.. udah susah jangan mengaku kaya,hate speech
Hahahhaha kalau biskuit khongsayan bapaknya yang fotoin dan ga mnt donasi juga hehehehehe,hate speech
HIDUPNYA CUMA KONTEN. KASIHAN BANGET DIA GAK BISA MENIKMATI HIDUP,hate speech
Hamilnya Sama orang lain Minta Tanggung Jawabnya Sama Netizen.,hate speech
"Kasian anak nya, jadi di ajarin ngemis",hate speech
Ga jelas lo nis makin lama.. mending amal ke anak yatim..,hate speech
"Yuk ramai ramai laporkan akunnya ini akun penipuan yok bisa para netizen bisa yok,,, ",hate speech
Kejiwaannya sehat ga sih ini? benaran nanya ‚,hate speech
Hidup lu konten mulu. Kasian tidak menikmati hidup,hate speech
Kasian padahal belum lahiran tapi dah kena baby blues ,hate speech
Ngomong lu ama tembok. Goblok kok dipelihara,hate speech
Sok suci kamu pikir kamu Maria ibu Yesus apa yang bisa mengandung dari roh kudusˆˆ,hate speech
"Iya betul , ka denis cuma diam doang tiduran Kan yang bergerak si cowok  Ka denis mah cuma tiduran &  ngangkang doang yekan — benar dong ??, Ka denis cuma diam doang kan ?? Tapi si cowok yang gerak  Ka denis cuma tiduran diam + desah doang dikit hehe benar si , ka denis jujur ko guys ———",hate speech
Goblok ko di pelihara sih lu percuma lu sekolah tidak sih punya malu tidak sih,hate speech
"Berani bawa2 SUMPaH dengan kelakuan yang tidak di anggap, gak ada orang yang gak melakukan hal bodoh bisa hamil, terus itu anak di sulap gitu di dalam perut",hate speech
Seandainya luu gak buat ulah Mungkn nasib lu gak  bakal kaya gini .dulu kelihatan cantik banget angun skarenag malah kacau,hate speech
"Goblok anak malah di bikin lelucon, sama saja lu jual anak sendiri karena duit, parah benar ini jadi ibu",hate speech
"Hamil sama Anjing siapa mau Kasihan miskin makan hasil minta'"" tapi sombong nya minta ampun jijik",hate speech
"orang kaya open donasi, orang kaya open donasi",hate speech
"makanya, jangan gampang buka celana dalam",hate speech
"Mau Lahiran kan? Dijaga mulut dan kata2nya, biar nanti gak nyusahin diri sendiri",hate speech
Makanya memek dijaga jangan diobral2,hate speech
"Pas ngelakuin keenakan, ga ingat dampaknya. Pas sudah kejadian, nyesel belakangan ",hate speech
makanya jangan keluarin di dalam kalau ga mau bunting ,hate speech
"kalau bisa jaga diri ya gak begitu juga ,cinta nafsu birahi itu mah ,cinta kok ngewe",hate speech
Sombongnya ga ilang2… gimana orang mau respect coba ? Ini orang kaya nanggung tapi sombongnya kebangetan ,hate speech
